"","date","time","from","to","vehicle","OD","Type","occupancy_numeric"
"36","2016-07-28","09:16:09 PM","008812005","008831765","IC1518","008812005/008831765","IC",0
"37","2016-07-28","09:33:21 PM","008813003","008892007","IC442","008813003/008892007","IC",0
"38","2016-07-28","09:58:40 PM","008813003","008892007","IC543","008813003/008892007","IC",0
"39","2016-07-28","10:02:39 PM","008891140","008891132","L592","008891140/008891132","L",0
"40","2016-07-28","10:28:40 PM","008812005","008831765","IC1518","008812005/008831765","IC",0
"41","2016-07-28","11:40:30 PM","008813003","008892007","IC543","008813003/008892007","IC",0
"42","2016-07-29","12:45:26 AM","008812005","008831765","IC1518","008812005/008831765","IC",0
"43","2016-07-29","12:45:57 AM","008812005","008831765","IC1518","008812005/008831765","IC",0
"44","2016-07-29","01:03:18 AM","008812005","008831765","IC1518","008812005/008831765","IC",0
"45","2016-07-29","02:32:11 AM","008812005","008831765","IC1518","008812005/008831765","IC",0
"46","2016-07-29","12:21:33 PM","008891140","008891009","IC2832","008891140/008891009","IC",1
"47","2016-07-29","12:34:26 PM","008891009","008891033","L582","008891009/008891033","L",0
"48","2016-07-29","12:34:36 PM","008891033","008891629","L582","008891033/008891629","L",0
"49","2016-07-29","12:34:45 PM","008891629","008891173","L582","008891629/008891173","L",0
"50","2016-07-29","12:43:57 PM","008812005","008831765","IC1518","008812005/008831765","IC",0
"51","2016-07-29","01:03:35 PM","008891173","008891629","L563","008891173/008891629","L",0
"52","2016-07-29","01:03:40 PM","008891629","008891033","L563","008891629/008891033","L",0
"53","2016-07-29","01:03:46 PM","008891033","008891009","L563","008891033/008891009","L",0
"54","2016-07-29","01:09:36 PM","008812211","008812047","S42183","008812211/008812047","S",0
"55","2016-07-29","01:25:15 PM","008812047","008813003","IC3235","008812047/008813003","IC",0
"56","2016-07-29","01:45:50 PM","008891009","008891140","IC2813","008891009/008891140","IC",0
"57","2016-07-29","06:43:23 PM","008812211","008813003","S102089","008812211/008813003","S",0
"58","2016-07-30","10:30:05 AM","008892007","008892205","IC3631","008892007/008892205","IC",1
"59","2016-07-30","10:44:26 AM","008892007","008813003","IC509","008892007/008813003","IC",0
"60","2016-07-30","10:45:10 AM","008892007","008813003","IC1509","008892007/008813003","IC",0
"61","2016-07-30","03:15:19 PM","008811189","008813003","IC3336","008811189/008813003","IC",2
"62","2016-07-30","03:15:46 PM","008811189","008821121","IC3114","008811189/008821121","IC",0
"63","2016-07-30","03:42:22 PM","008822004","008822343","IC3114","008822004/008822343","IC",0
"64","2016-07-30","03:42:27 PM","008822343","008821238","IC3114","008822343/008821238","IC",0
"65","2016-07-30","03:42:32 PM","008821238","008821121","IC3114","008821238/008821121","IC",0
"66","2016-07-30","03:57:46 PM","008821121","008821600","IC4236","008821121/008821600","IC",1
"67","2016-07-30","04:07:45 PM","008821600","008821659","IC4236","008821600/008821659","IC",1
"68","2016-07-31","04:39:07 PM","008812005","008831765","IC1518","008812005/008831765","IC",0
"69","2016-07-31","04:39:14 PM","008812005","008831765","IC1518","008812005/008831765","IC",0
"70","2016-07-31","07:31:07 PM","008891009","008891009","IC2318","008891009/008891009","IC",2
"71","2016-07-31","09:02:35 PM","008821907","008821717","IC4220","008821907/008821717","IC",0
"72","2016-07-31","09:02:50 PM","008821717","008832458","IC4420","008821717/008832458","IC",1
"73","2016-07-31","09:02:55 PM","008832409","008832045","IC4420","008832409/008832045","IC",0
"74","2016-08-01","04:38:21 PM","008891140","008892007","IC2814","008891140/008892007","IC",0
"75","2016-08-01","04:38:54 PM","008892007","008893120","IC736","008892007/008893120","IC",0
"76","2016-08-01","04:39:00 PM","008893120","008894201","IC736","008893120/008894201","IC",0
"77","2016-08-01","04:39:08 PM","008894201","008894508","IC736","008894201/008894508","IC",0
"78","2016-08-02","09:11:32 AM","008831005","008814001","IC2231","008831005/008814001","IC",0
"79","2016-08-02","09:39:50 AM","008892007","008814001","IC508","008892007/008814001","IC",0
"80","2016-08-02","10:12:37 AM","008812005","008813003","IC2231","008812005/008813003","IC",0
"81","2016-08-02","10:12:43 AM","008833209","008812005","IC2231","008833209/008812005","IC",0
"82","2016-08-02","10:12:46 AM","008831401","008833209","IC2231","008831401/008833209","IC",0
"83","2016-08-02","10:21:57 AM","008814001","008892007","IC2831","008814001/008892007","IC",0
"84","2016-08-02","10:44:44 AM","008814001","008731901","TGV9826","008814001/008731901","TGV",1
"85","2016-08-02","11:19:33 AM","008894508","008894201","IC710","008894508/008894201","IC",0
"86","2016-08-02","11:19:43 AM","008894201","008893120","IC710","008894201/008893120","IC",0
"87","2016-08-02","11:19:47 AM","008893120","008892007","IC710","008893120/008892007","IC",0
"88","2016-08-02","11:38:11 AM","008892007","008891009","IC532","008892007/008891009","IC",1
"89","2016-08-02","01:53:08 PM","008892007","008814001","IC1506","008892007/008814001","IC",2
"90","2016-08-02","01:54:01 PM","008831005","008812005","IC2230","008831005/008812005","IC",1
"91","2016-08-02","03:39:07 PM","008892007","008893120","IC736","008892007/008893120","IC",0
"92","2016-08-02","03:39:12 PM","008893120","008894201","IC736","008893120/008894201","IC",0
"93","2016-08-02","03:48:52 PM","008894201","008894508","IC736","008894201/008894508","IC",0
"94","2016-08-02","04:07:11 PM","008821006","008893120","IC1837","008821006/008893120","IC",0
"95","2016-08-02","04:17:36 PM","008894508","008821121","IC736","008894508/008821121","IC",0
"96","2016-08-02","04:17:43 PM","008821121","008821006","IC736","008821121/008821006","IC",0
"97","2016-08-02","05:02:57 PM","008821006","008821121","IC4237","008821006/008821121","IC",0
"98","2016-08-02","05:03:03 PM","008821121","008821600","IC4237","008821121/008821600","IC",0
"99","2016-08-02","05:03:08 PM","008821600","008821717","IC4237","008821600/008821717","IC",0
"100","2016-08-02","05:30:18 PM","008821964","008821907","IC4237","008821964/008821907","IC",0
"101","2016-08-03","12:34:14 AM","008821907","008814001","IC4216","008821907/008814001","IC",2
"102","2016-08-03","12:34:56 AM","008821907","008814001","IC4216","008821907/008814001","IC",2
"103","2016-08-03","02:15:45 PM","008831765","008814001","IC1537","008831765/008814001","IC",0
"104","2016-08-04","09:30:09 AM","008821907","008821964","IC4209","008821907/008821964","IC",0
"105","2016-08-04","09:43:08 AM","008821964","008821717","IC4209","008821964/008821717","IC",0
"106","2016-08-04","09:43:13 AM","008821717","008821600","IC4209","008821717/008821600","IC",0
"107","2016-08-04","10:04:46 AM","008821600","008821121","IC4209","008821600/008821121","IC",0
"108","2016-08-04","10:19:44 AM","008821196","008894748","IC1831","008821196/008894748","IC",0
"109","2016-08-04","10:34:25 AM","008894508","008894201","IC1831","008894508/008894201","IC",1
"110","2016-08-04","10:43:27 AM","008894201","008893120","IC1831","008894201/008893120","IC",1
"111","2016-08-04","10:57:38 AM","008893120","008892007","IC1831","008893120/008892007","IC",1
"112","2016-08-04","11:09:56 AM","008892007","008891009","IC1831","008892007/008891009","IC",1
"113","2016-08-04","11:35:55 AM","008891009","008891702","IC1831","008891009/008891702","IC",1
"114","2016-08-04","12:52:05 PM","008891702","008891009","IC512","008891702/008891009","IC",0
"115","2016-08-04","01:19:49 PM","008892007","008814001","IC512","008892007/008814001","IC",0
"116","2016-08-04","01:56:34 PM","008814001","008813003","IC512","008814001/008813003","IC",0
"117","2016-08-04","02:07:15 PM","008812005","008833001","IC512","008812005/008833001","IC",0
"118","2016-08-04","02:17:22 PM","008812070","008812013","S103857","008812070/008812013","S",0
"119","2016-08-04","02:27:46 PM","008833001","008841004","IC512","008833001/008841004","IC",0
"120","2016-08-04","04:20:24 PM","008841004","008833001","IC538","008841004/008833001","IC",0
"121","2016-08-04","04:33:32 PM","008833001","008833233","IC2937","008833001/008833233","IC",0
"122","2016-08-04","04:49:02 PM","008833233","008833209","IC2937","008833233/008833209","IC",0
"123","2016-08-04","04:50:59 PM","008833209","008821832","IC2937","008833209/008821832","IC",0
"124","2016-08-04","05:12:07 PM","008892007","008814001","IC3605","008892007/008814001","IC",1
"125","2016-08-04","05:12:58 PM","008821832","008821600","IC2937","008821832/008821600","IC",0
"126","2016-08-04","05:13:03 PM","008821600","008821121","IC2937","008821600/008821121","IC",0
"127","2016-08-04","05:22:59 PM","008821600","008821717","IC3415","008821600/008821717","IC",1
"128","2016-08-04","06:44:08 PM","008821717","008821964","IC3415","008821717/008821964","IC",0
"129","2016-08-04","06:44:13 PM","008821964","008821907","IC3415","008821964/008821907","IC",0
"130","2016-08-05","12:06:32 PM","008833001","008832250","L2461","008833001/008832250","L",0
"131","2016-08-07","12:37:09 PM","008832250","008821006","IC4433","008832250/008821006","IC",0
"132","2016-08-07","01:20:21 PM","008832433","008821006","IC4333","008832433/008821006","IC",1
"133","2016-08-07","04:08:34 PM","008875002","008892007","IC3935","008875002/008892007","IC",1
"134","2016-08-07","04:09:26 PM","008872009","008872009","IC3935","008872009/008872009","IC",0
"135","2016-08-07","07:56:27 PM","008891702","008892007","IC519","008891702/008892007","IC",2
"136","2016-08-07","10:23:00 PM","008842846","008841525","L5593","008842846/008841525","L",0
"137","2016-08-08","10:21:37 AM","008821907","008821964","IC3432","008821907/008821964","IC",0
"138","2016-08-08","10:21:42 AM","008821964","008821717","IC3432","008821964/008821717","IC",0
"139","2016-08-08","10:21:53 AM","008821717","008821600","IC3432","008821717/008821600","IC",0
"140","2016-08-08","10:40:13 AM","008821600","008822004","IC3432","008821600/008822004","IC",0
"141","2016-08-08","11:23:18 AM","008822004","008811189","IC3432","008822004/008811189","IC",0
"142","2016-08-08","11:23:23 AM","008811189","008812005","IC3432","008811189/008812005","IC",0
"143","2016-08-08","11:23:27 AM","008812005","008813003","IC3432","008812005/008813003","IC",0
"144","2016-08-08","11:23:31 AM","008813003","008814001","IC3432","008813003/008814001","IC",0
"145","2016-08-08","11:46:13 AM","008814308","008883808","IC3432","008814308/008883808","IC",0
"146","2016-08-08","12:16:57 PM","008883808","008883006","IC3432","008883808/008883006","IC",0
"147","2016-08-08","12:17:01 PM","008883006","008883212","IC3432","008883006/008883212","IC",0
"148","2016-08-08","12:17:05 PM","008883212","008882107","IC3432","008883212/008882107","IC",0
"149","2016-08-08","12:50:13 PM","008882206","008872009","IC911","008882206/008872009","IC",0
"150","2016-08-08","03:23:51 PM","008871100","008871308","IC2014","008871100/008871308","IC",0
"151","2016-08-08","03:23:56 PM","008871308","008814209","IC2014","008871308/008814209","IC",0
"152","2016-08-08","03:24:00 PM","008814209","008814258","IC2014","008814209/008814258","IC",0
"153","2016-08-08","03:49:18 PM","008814001","008813003","IC2014","008814001/008813003","IC",1
"154","2016-08-08","03:58:08 PM","008813003","008812005","IC2014","008813003/008812005","IC",1
"155","2016-08-08","03:58:13 PM","008812005","008822004","IC2014","008812005/008822004","IC",1
"156","2016-08-08","04:19:26 PM","008822004","008821121","IC2014","008822004/008821121","IC",1
"157","2016-08-08","04:55:33 PM","008821006","008821121","IC4237","008821006/008821121","IC",0
"158","2016-08-08","04:55:47 PM","008821121","008821600","IC4237","008821121/008821600","IC",0
"159","2016-08-08","05:09:31 PM","008821600","008821717","IC4237","008821600/008821717","IC",0
"160","2016-08-08","05:20:12 PM","008821717","008821964","IC4237","008821717/008821964","IC",0
"161","2016-08-09","12:23:22 PM","008821006","008832250","IC4312","008821006/008832250","IC",0
"162","2016-08-09","12:23:23 PM","008821006","008832250","IC4312","008821006/008832250","IC",0
"163","2016-08-09","04:51:41 PM","008821121","008893120","IC716","008821121/008893120","IC",1
"164","2016-08-09","05:42:50 PM","008811916","008811601","IC2417","008811916/008811601","IC",2
"165","2016-08-10","08:53:55 AM","008200518","008821006","L2579","008200518/008821006","L",0
"166","2016-08-10","01:13:07 PM","008821907","008821964","IC3435","008821907/008821964","IC",0
"167","2016-08-10","01:13:13 PM","008821964","008821717","IC3435","008821964/008821717","IC",0
"168","2016-08-10","01:20:21 PM","008891140","008891009","IC2833","008891140/008891009","IC",1
"169","2016-08-10","01:24:19 PM","008821717","008821600","IC3435","008821717/008821600","IC",0
"170","2016-08-10","01:37:52 PM","008821600","008822004","IC3435","008821600/008822004","IC",0
"171","2016-08-10","01:56:34 PM","008822004","008811189","IC3435","008822004/008811189","IC",0
"172","2016-08-10","02:14:33 PM","008811189","008812005","IC3435","008811189/008812005","IC",0
"173","2016-08-10","02:16:39 PM","008812005","008813003","IC3435","008812005/008813003","IC",0
"174","2016-08-10","08:52:38 PM","008814001","008813003","IC3419","008814001/008813003","IC",0
"175","2016-08-10","08:53:05 PM","008813003","008812005","IC3419","008813003/008812005","IC",0
"176","2016-08-10","08:53:11 PM","008812005","008811189","IC3419","008812005/008811189","IC",0
"177","2016-08-10","08:53:15 PM","008811189","008822004","IC3419","008811189/008822004","IC",0
"178","2016-08-10","09:02:20 PM","008822004","008821600","IC3419","008822004/008821600","IC",0
"179","2016-08-10","09:24:00 PM","008821600","008821717","IC3419","008821600/008821717","IC",0
"180","2016-08-11","10:28:25 AM","008821907","008821964","IC4210","008821907/008821964","IC",0
"181","2016-08-11","10:39:40 AM","008821964","008821717","IC4210","008821964/008821717","IC",0
"182","2016-08-11","10:39:44 AM","008821717","008821600","IC4210","008821717/008821600","IC",0
"183","2016-08-11","10:57:56 AM","008821600","008821121","IC4210","008821600/008821121","IC",0
"184","2016-08-11","11:16:51 AM","008821121","008821006","IC4210","008821121/008821006","IC",0
"185","2016-08-11","11:25:33 AM","008821006","008821121","IC2033","008821006/008821121","IC",0
"186","2016-08-11","11:40:12 AM","008821121","008822004","IC2033","008821121/008822004","IC",0
"187","2016-08-11","11:45:40 AM","008822004","008812005","IC2033","008822004/008812005","IC",0
"188","2016-08-11","12:09:09 PM","008892007","008833001","IC510","008892007/008833001","IC",0
"189","2016-08-11","12:39:13 PM","008813003","008812005","IC2112","008813003/008812005","IC",0
"190","2016-08-11","12:52:17 PM","008833001","008831005","IC2611","008833001/008831005","IC",0
"191","2016-08-11","01:07:37 PM","008814001","008892007","IC534","008814001/008892007","IC",2
"192","2016-08-11","01:29:53 PM","008861200","008863008","IC2112","008861200/008863008","IC",1
"193","2016-08-11","01:30:07 PM","008811916","008811304","IC2112","008811916/008811304","IC",0
"194","2016-08-11","01:30:11 PM","008811304","008811601","IC2112","008811304/008811601","IC",0
"195","2016-08-11","01:30:21 PM","008811601","008861200","IC2112","008811601/008861200","IC",1
"196","2016-08-11","02:45:22 PM","008863008","008864501","IC2113","008863008/008864501","IC",1
"197","2016-08-11","03:30:39 PM","008831005","008831039","IC1538","008831005/008831039","IC",0
"198","2016-08-11","03:32:33 PM","008831005","008892007","IC1538","008831005/008892007","IC",0
"199","2016-08-11","04:51:51 PM","008814001","008892007","IC1538","008814001/008892007","IC",2
"200","2016-08-12","09:35:25 AM","008891140","008891009","IC2840","008891140/008891009","IC",0
"201","2016-08-12","09:36:04 AM","008891140","008892007","IC1507","008891140/008892007","IC",1
"202","2016-08-12","09:36:25 AM","008892007","008893120","IC1809","008892007/008893120","IC",0
"203","2016-08-12","09:36:32 AM","008893120","008894201","IC1809","008893120/008894201","IC",0
"204","2016-08-12","09:36:37 AM","008894201","008894508","IC1809","008894201/008894508","IC",0
"205","2016-08-12","03:17:47 PM","008892007","008819406","IC3612","008892007/008819406","IC",0
"206","2016-08-12","04:51:08 PM","008891140","008892007","IC1513","008891140/008892007","IC",0
"207","2016-08-12","04:51:31 PM","008892007","008893120","IC1816","008892007/008893120","IC",0
"208","2016-08-12","04:51:36 PM","008893120","008894201","IC1816","008893120/008894201","IC",0
"209","2016-08-12","04:51:40 PM","008894201","008894508","IC1816","008894201/008894508","IC",0
"210","2016-08-12","09:19:33 PM","008814001","008892007","IC542","008814001/008892007","IC",1
"211","2016-08-13","10:12:01 AM","008892007","008891702","IC1830","008892007/008891702","IC",2
"212","2016-08-13","10:37:52 AM","008821006","008896008","IC710","008821006/008896008","IC",0
"213","2016-08-13","06:10:00 PM","008891702","008891009","IC1818","008891702/008891009","IC",1
"214","2016-08-16","07:28:04 AM","008892007","008821006","IC1806","008892007/008821006","IC",0
"215","2016-08-16","08:37:45 AM","008814001","008892007","IC429","008814001/008892007","IC",1
"216","2016-08-16","09:26:39 AM","008891009","008892007","IC1809","008891009/008892007","IC",0
"217","2016-08-16","02:49:46 PM","008892007","008891009","L585","008892007/008891009","L",0
"218","2016-08-16","06:07:00 PM","008821006","008892007","IC1839","008821006/008892007","IC",0
"219","2016-08-16","06:46:25 PM","008821006","008892007","IC1839","008821006/008892007","IC",0
"220","2016-08-17","07:27:05 AM","008894748","008893120","IC1828","008894748/008893120","IC",0
"221","2016-08-17","09:59:14 AM","008821907","008821964","IC4209","008821907/008821964","IC",0
"222","2016-08-17","09:59:21 AM","008821964","008821717","IC4209","008821964/008821717","IC",0
"223","2016-08-17","09:59:26 AM","008821717","008821600","IC4209","008821717/008821600","IC",0
"224","2016-08-17","09:59:32 AM","008821600","008821121","IC4209","008821600/008821121","IC",0
"225","2016-08-17","10:13:53 AM","008821121","008821196","IC1831","008821121/008821196","IC",0
"226","2016-08-17","10:27:08 AM","008821196","008894748","IC1831","008821196/008894748","IC",0
"227","2016-08-17","10:27:13 AM","008894748","008894508","IC1831","008894748/008894508","IC",0
"228","2016-08-17","10:44:50 AM","008894508","008894201","IC1831","008894508/008894201","IC",0
"229","2016-08-17","10:44:55 AM","008894201","008893120","IC1831","008894201/008893120","IC",0
"230","2016-08-17","11:12:10 AM","008892007","008891009","IC1831","008892007/008891009","IC",1
"231","2016-08-17","11:12:19 AM","008893120","008892007","IC1831","008893120/008892007","IC",1
"232","2016-08-17","05:14:48 PM","008813003","008833001","IC416","008813003/008833001","IC",1
"233","2016-08-17","08:02:59 PM","008893120","008894748","IC1819","008893120/008894748","IC",2
"234","2016-08-17","09:25:20 PM","008814001","008814001","IC2231","008814001/008814001","IC",0
"235","2016-08-17","09:26:03 PM","008892007","008814001","IC2820","008892007/008814001","IC",0
"236","2016-08-18","07:36:30 AM","008894748","008893120","IC1828","008894748/008893120","IC",0
"237","2016-08-18","01:07:48 PM","008891009","008892007","IC512","008891009/008892007","IC",0
"238","2016-08-18","01:29:14 PM","008812005","008844008","IC415","008812005/008844008","IC",1
"239","2016-08-18","01:35:52 PM","008813003","008400058","IC9251","008813003/008400058","IC",1
"240","2016-08-18","02:45:41 PM","008892007","008813003","IC2813","008892007/008813003","IC",1
"241","2016-08-18","06:03:03 PM","008813003","008892007","IC539","008813003/008892007","IC",1
"242","2016-08-18","06:03:38 PM","008893120","008894748","IC1817","008893120/008894748","IC",1
"243","2016-08-18","06:07:19 PM","008821006","008893120","IC1839","008821006/008893120","IC",1
"244","2016-08-19","07:29:09 AM","008894748","008893120","IC1828","008894748/008893120","IC",0
"245","2016-08-19","08:08:28 AM","008893120","008821006","IC728","008893120/008821006","IC",1
"246","2016-08-19","11:57:49 AM","008892007","008892205","IC3633","008892007/008892205","IC",1
"247","2016-08-19","06:44:02 PM","008821006","008896008","IC718","008821006/008896008","IC",1
"248","2016-08-21","01:52:15 PM","008892007","008893120","IC1813","008892007/008893120","IC",0
"249","2016-08-21","01:52:43 PM","008891140","008892007","IC1512","008891140/008892007","IC",1
"250","2016-08-22","06:06:28 PM","008821006","008893120","IC1839","008821006/008893120","IC",1
"251","2016-08-23","07:49:20 AM","008893120","008821006","IC728","008893120/008821006","IC",2
"252","2016-08-23","04:24:44 PM","008814001","008872009","IC2037","008814001/008872009","IC",1
"253","2016-08-23","09:10:22 PM","008892007","008814001","ICT6952","008892007/008814001","ICT",2
"254","2016-08-23","10:29:16 PM","008895000","008892007","P7970","008895000/008892007","P",1
"255","2016-08-23","10:29:42 PM","008895000","008892007","IC3628","008895000/008892007","IC",1
"256","2016-08-24","12:28:05 PM","008891009","008891009","IC832","008891009/008891009","IC",1
"257","2016-08-24","12:28:07 PM","008896800","008892007","IC832","008896800/008892007","IC",0
"258","2016-08-25","03:55:46 PM","008814001","008883006","IC3736","008814001/008883006","IC",1
"259","2016-08-26","12:24:30 PM","008892007","008893120","IC733","008892007/008893120","IC",2
"260","2016-08-26","12:35:51 PM","008893120","008894201","IC733","008893120/008894201","IC",2
"261","2016-08-26","12:56:10 PM","008894201","008894508","IC733","008894201/008894508","IC",2
"262","2016-08-26","01:02:35 PM","008894508","008821121","IC733","008894508/008821121","IC",2
"263","2016-08-26","01:16:15 PM","008821121","008821006","IC733","008821121/008821006","IC",1
"264","2016-08-30","03:55:37 PM","008814001","008881166","IC3736","008814001/008881166","IC",1
"265","2016-08-30","04:25:47 PM","008892007","008891009","IC1537","008892007/008891009","IC",1
"266","2016-09-01","12:30:28 AM","008892007","008893534","L557","008892007/008893534","L",1
"267","2016-09-01","05:18:49 PM","008821006","008893120","IC716","008821006/008893120","IC",2
"268","2016-09-03","08:39:12 AM","008892007","008891702","IC529","008892007/008891702","IC",0
"269","2016-09-03","09:12:02 AM","008892007","008891702","IC529","008892007/008891702","IC",0
"270","2016-09-03","03:16:54 PM","008892007","008895836","IC2214","008892007/008895836","IC",0
"271","2016-09-04","11:12:22 AM","008892007","008891009","IC1831","008892007/008891009","IC",1
"272","2016-09-05","05:02:03 PM","008811304","008814308","S53586","008811304/008814308","S",2
"273","2016-09-05","07:23:39 PM","008893401","008893013","L590","008893401/008893013","L",0
"274","2016-09-05","09:40:50 PM","008813003","008833001","IC521","008813003/008833001","IC",1
"275","2016-09-05","09:41:23 PM","008812005","008833001","IC521","008812005/008833001","IC",1
"276","2016-09-06","07:59:52 AM","008893120","008821006","IC728","008893120/008821006","IC",1
"277","2016-09-06","12:13:12 PM","008891009","008892007","IC1511","008891009/008892007","IC",2
"278","2016-09-06","04:45:32 PM","008813003","008821907","IC3415","008813003/008821907","IC",2
"279","2016-09-06","05:28:01 PM","008892007","008891009","IC1538","008892007/008891009","IC",2
"280","2016-09-06","05:31:45 PM","008893401","008893013","L588","008893401/008893013","L",0
"281","2016-09-07","07:42:58 AM","008892254","008892007","IC3606","008892254/008892007","IC",0
"282","2016-09-07","08:36:49 AM","008893013","008893401","L557","008893013/008893401","L",0
"283","2016-09-07","01:25:36 PM","008821006","008813003","IC2035","008821006/008813003","IC",0
"284","2016-09-08","07:37:03 AM","008893120","008821006","IC728","008893120/008821006","IC",2
"285","2016-09-08","08:31:13 AM","008893013","008893401","L557","008893013/008893401","L",0
"286","2016-09-08","06:08:53 PM","008821006","008893120","IC1839","008821006/008893120","IC",0
"287","2016-09-08","10:55:38 PM","008821006","008813003","IC3137","008821006/008813003","IC",1
"288","2016-09-09","08:43:51 AM","008893013","008893401","L557","008893013/008893401","L",0
"289","2016-09-09","09:23:02 AM","008861200","008813003","IC2127","008861200/008813003","IC",1
"290","2016-09-09","02:55:11 PM","008891009","008892007","IC2814","008891009/008892007","IC",0
"291","2016-09-09","04:42:41 PM","008892007","008891009","IC1537","008892007/008891009","IC",0
"292","2016-09-09","04:44:45 PM","008812005","008841004","IC415","008812005/008841004","IC",2
"293","2016-09-09","07:10:22 PM","008813003","008833001","IC507","008813003/008833001","IC",0
"294","2016-09-09","09:49:20 PM","008893559","008893526","L569","008893559/008893526","L",2
"295","2016-09-09","09:49:31 PM","008893559","008893526","L570","008893559/008893526","L",0
"296","2016-09-10","11:16:49 AM","008891009","008892007","IC510","008891009/008892007","IC",0
"297","2016-09-10","02:48:41 PM","008821006","008892007","IC2614","008821006/008892007","IC",1
"298","2016-09-10","02:49:01 PM","008821006","008892007","IC2614","008821006/008892007","IC",2
"299","2016-09-10","10:13:16 PM","008892007","008891009","IC1842","008892007/008891009","IC",0
"300","2016-09-11","07:49:46 AM","008891009","008814001","IC507","008891009/008814001","IC",0
"301","2016-09-11","04:19:42 PM","008822004","008822004","IC2615","008822004/008822004","IC",1
"302","2016-09-12","06:19:59 AM","008895000","008892007","IC3628","008895000/008892007","IC",0
"303","2016-09-12","06:20:31 AM","008895000","008892007","IC2227","008895000/008892007","IC",1
"304","2016-09-12","08:27:06 AM","008893013","008893401","L557","008893013/008893401","L",0
"305","2016-09-12","05:11:27 PM","008892007","008893013","L1867","008892007/008893013","L",1
"306","2016-09-12","06:57:51 PM","008892007","008892254","IC3640","008892007/008892254","IC",1
"307","2016-09-13","08:38:31 AM","008893013","008893401","L557","008893013/008893401","L",0
"308","2016-09-13","08:46:25 AM","008892254","008892007","IC3607","008892254/008892007","IC",1
"309","2016-09-13","04:38:11 PM","008814001","008884541","IC1737","008814001/008884541","IC",2
"310","2016-09-13","05:34:01 PM","008893401","008893013","L588","008893401/008893013","L",0
"311","2016-09-13","05:55:44 PM","008892007","008813003","IC417","008892007/008813003","IC",0
"312","2016-09-15","07:27:23 AM","008893013","008893401","L556","008893013/008893401","L",0
